0.4, 0.95, 0.65, 0.3,-1,1, 2
0.65, 0.2, 0.8, 0.55,0,1, 1
0.  , 0.15, 0., 0.,0,1, 1
1., 1., 0.  , 0.65,1,3, 1
1., 0., 0.35, 0.45,-1,1, 3
0.8, 1. , 1. , 0.8,1,2, 1
0.5 , 0.55, 0.35, 0.2 ,0,2, 2
1.  , 0.35, 0., 1.,0,1, 1
0.15, 0.4 , 0.4, 0. ,-1,1, 3
0.6, 0. , 0.25, 0.  ,-1,1, 2
0.7, 0.8, 0.3 , 0.65,1,3, 1
0.45, 0.35, 0.6, 1. ,-1,1, 2
1.  , 0.55, 0.55, 0.7 ,-1,1, 3
0.55, 0.75, 0.6, 0.6,1,3, 2
0.  , 0.85, 0.85, 0.85,-1,1, 3
0.85, 0.2 , 0. , 0.4,0,1, 1
0.25, 0.2 , 0.7 , 0.75,-1,1, 3
0.15, 1.  , 1., 1.,-1,1, 2
0.5, 0.7, 0.65, 0.85,1,3, 2
0.8, 0. , 0.55, 0.75,-1,1, 3
0.4, 0. , 0.8, 0.4,1,2, 1
0.55, 0.7 , 1. , 0.6,1,3, 1
0.45, 0.65, 0.6, 0.7,-1,1, 2
0.85, 1.  , 0.75, 0.7 ,0,1, 1
0.55, 0.75, 0., 0.,1,3, 1
