0.95, 0.55, 0.4, 1.0,0,1, 1
0.0, 0.35, 0.8, 0.7,-1,2, 2
0.7, 0. , 0.55, 0.  ,-1,1, 1
0.45, 0.5 , 1., 1.,1,3, 2
0.  , 0.85, 0., 0.,-1,1, 2
0.35, 0.25, 0.5 , 0.35,0,2, 2
0.3 , 0.65, 0.7, 1. ,1,2, 2
1. , 0.2, 1., 0.,0,1, 1
0.25, 0.  , 0.55, 0.75,1,2, 2
0.7 , 0.25, 0.7, 0.4,-1,2, 2
0.15, 1.  , 0.25, 0.4 ,-1,1, 2
0. , 0.6, 1.  , 0.75,-1,2, 2
1.  , 0.45, 0.6, 0.5,-1,1, 3
0.2 , 0.15, 0.55, 0.5 ,0,3, 3
0.45, 0.45, 0.6 , 0.55,-1,2, 2
0.15, 0.15, 0.  , 0.15,1,3, 2
0.2, 0. , 0.2 , 0.15,1,2, 2
0.3, 0. , 0.15, 0.  ,-1,2, 2
0.7 , 0.45, 0.55, 0.55,-1,2, 2
0., 1., 0.85, 0.85,-1,1, 2
1., 1., 0.15, 0.  ,1,2, 2
0.5, 0.3, 0.55, 0.45,-1,2, 3
0.55, 0.5 , 1. , 0.8,1,3, 2
0.25, 0.5 , 0.55, 0.5 ,-1,1, 3
0.45, 0.65, 0.6 , 0.55,-1,2, 2
