0.95, 0.55, 0.4, 1.0,1,2, 1
0.0, 0.35, 0.8, 0.7,-1,1, 2
0.95, 0.  , 0.8 , 0.05,-1,1, 1
1., 1., 0.6, 0.4,-1,2, 2
0.45, 0.05, 0.3, 0. ,1,2, 2
0.  , 0.85, 0.35, 0.6 ,-1,1, 3
0.55, 0.7 , 0.35, 0.35,0,2, 2
1. , 0.3, 0.2 , 0.65,-1,1, 2
0.7, 1. , 0., 0.,-1,1, 2
0.6, 0.2, 1.  , 0.75,-1,2, 2
0.75, 0.5 , 0.5 , 0.55,-1,2, 3
0.55, 0.6 , 0.4, 0.5,1,3, 2
0.15, 1.  , 0., 1.,0,1, 1
0. , 0.6, 0.25, 0.2 ,-1,2, 2
0.45, 0.  , 0.4 , 0.75,-1,2, 2
0.6, 0.8, 0.6 , 0.55,-1,2, 3
0.6 , 0.65, 0.45, 0.3 ,1,2, 2
0.  , 0.15, 0.2, 0.4,-1,2, 3
0.85, 0.85, 0.65, 0.  ,1,2, 2
0.15, 0.3 , 0.55, 0.5 ,-1,2, 3
1.  , 0.85, 0.8, 0.3,0,2, 2
0.6, 0.6, 0.45, 0.6 ,0,2, 2
1. , 0.6, 0.25, 0.8 ,1,3, 2
1.  , 0.75, 1. , 0.5,1,2, 2
0.25, 0.55, 0.7 , 0.65,-1,2, 3
