0.1, 0.25, 0.5, 0.55,-1,3, 3
0.8, 0.75, 0.15, 0.45,1,3, 2
0.75, 0.55, 0.6 , 0.75,1,3, 3
0.65, 0.3 , 0.8, 0.3,1,2, 1
1. , 0.7, 1.  , 0.85,0,3, 3
0.4 , 0.05, 0.4, 0.2,-1,2, 2
0., 1., 0.85, 1.  ,-1,1, 1
1., 0., 0., 0.,1,2, 1
0.4, 1. , 0.3 , 0.75,-1,1, 1
1.  , 0.55, 0.4, 0.4,-1,2, 3
0.65, 0.6 , 0.7, 0. ,1,3, 1
0.65, 0.6 , 0.  , 0.65,1,3, 2
0. , 0.4, 1. , 0.8,-1,2, 3
1., 1., 0.85, 0.7 ,0,2, 2
0.35, 0.45, 0.25, 0.15,1,3, 2
1.  , 0.75, 0.55, 0.45,0,3, 3
1.  , 0.25, 0.55, 0.45,-1,1, 3
0.3 , 0.35, 1. , 0.7,1,3, 2
0.55, 0.55, 0.7 , 0.65,0,3, 3
0.6, 0. , 0.7 , 0.65,-1,1, 3
0.45, 0.45, 0.65, 0.6 ,0,3, 3
0.55, 0.55, 0.4, 0.5,0,3, 3
0.45, 0.5 , 0.65, 0.6 ,0,3, 3
0.4, 0.5, 0.55, 0.55,0,3, 3
0.45, 0.55, 0.6 , 0.55,-1,2, 3
