0.95, 0.55, 0.4, 1.0,1,1, 1
0.0, 0.35, 0.8, 0.7,-1,2, 2
0.6, 0. , 1., 1.,-1,1, 3
0.5, 0.5, 0.8, 1. ,-1,3, 3
0. , 0.8, 1. , 0.1,0,1, 1
0.1, 0. , 0.25, 0.  ,1,3, 2
0.75, 0.3 , 1. , 0.8,-1,1, 2
0.25, 0.65, 0., 1.,1,2, 1
0.55, 0.75, 0.3, 0.3,1,3, 3
0.65, 0.9 , 0. , 0.1,1,3, 1
0.15, 0.5 , 0. , 0.6,1,3, 1
1., 1., 0.85, 0.  ,1,3, 1
0.7, 1. , 0.75, 0.85,0,3, 3
0.8, 0.9, 0.4, 0.6,-1,2, 3
0.5 , 0.25, 0.6 , 0.65,-1,2, 3
0.2, 0.2, 0.65, 1.  ,1,3, 2
1. , 0.3, 0.15, 0.  ,-1,1, 2
0.3 , 0.45, 0.45, 0.75,1,3, 3
0.6 , 0.75, 0.4 , 0.55,1,3, 2
0.2, 0.4, 0.35, 0.35,-1,2, 3
0.6 , 0.65, 0.4 , 0.15,1,2, 2
0.3 , 0.35, 0.6, 0.8,-1,2, 3
1., 0., 0.6, 0.8,-1,1, 3
0.65, 0.8 , 0.9, 1. ,1,3, 2
0., 0., 0.65, 0.8 ,-1,1, 2
