0.5, 0.5, 0.3, 0.42424242,-1,2, 3
0.3, 0.42424242, 0.5, 0.5,-1,2, 3
0.5, 0.5, 0.7, 0.59393939,1,3, 2
0.7, 0.59393939, 0.5, 0.5,-1,2, 3
0.5, 0.5, 0.51969697, 0.44545455,-1,2, 3
0.51969697, 0.44545455, 0.5, 0.5,-1,3, 3
0.3, 0.42424242, 0.7, 0.59393939,-1,2, 3
0.7, 0.59393939, 0.3, 0.42424242,1,2, 2
0.3, 0.42424242, 0.51969697, 0.44545455,1,2, 2
0.51969697, 0.44545455, 0.3, 0.42424242,-1,3, 3
0.7, 0.59393939, 0.51969697, 0.44545455,1,2, 2
0.51969697, 0.44545455, 0.7, 0.59393939,-1,3, 3
